t,motor_tested,curr_target_mA,on_target,i_q_RI8523_mA,futek_torque_Nm
0.0015337467193603516,RI8523,-5.0,0,0.018,8.856512434361509,-0.0013500411999874673
0.004908323287963867,RI8523,-5.0,0,0.018,8.856512434361509,-0.009450288399915505
0.007924079895019531,RI8523,-5.0,0,0.018,8.847673599596678,-0.014850453199865388
0.010907411575317383,RI8523,-5.0,0,0.018,8.829995930067014,-0.006750205999940556
0.013991594314575195,RI8523,-5.0,0,0.018,8.821157095302182,-0.012150370799890453
0.016848087310791016,RI8523,-5.0,0,0.018,8.838834764831846,-0.009450288399915505
0.01995563507080078,RI8523,-5.0,0,0.018,8.821157095302182,-0.012150370799890453
0.023107528686523438,RI8523,-5.0,0,0.018,8.829995930067014,-0.0013500411999874673
0.0263059139251709,RI8523,-5.0,0,0.018,8.838834764831846,-0.005400164799953089
0.028652191162109375,RI8523,-5.0,0,0.018,8.847673599596678,-0.008100247199928023
0.031670570373535156,RI8523,-5.0,0,0.018,8.847673599596678,0.0027000823999749485
0.03469061851501465,RI8523,-5.0,0,0.018,8.847673599596678,0.0013500411999874812
0.03771805763244629,RI8523,-5.0,0,0.018,8.821157095302182,0.00405012359996243
0.04071831703186035,RI8523,-5.0,0,0.018,8.838834764831846,-0.005400164799953089
0.0435335636138916,RI8523,-5.0,0,0.018,8.856512434361509,-0.010800329599902972
0.04672360420227051,RI8523,-5.0,0,0.018,8.847673599596678,-0.006750205999940556
0.04967498779296875,RI8523,-5.0,0,0.018,8.838834764831846,0.0013500411999874812
0.05255556106567383,RI8523,-5.0,0,0.018,8.883028938656006,-0.010800329599902972
0.05563187599182129,RI8523,-5.0,0,0.018,8.847673599596678,-0.004050123599962416
0.0586240291595459,RI8523,-5.0,0,0.018,8.821157095302182,-0.014850453199865388
0.06164836883544922,RI8523,-5.0,0,0.018,8.829995930067014,-0.010800329599902972
0.06467652320861816,RI8523,-5.0,0,0.018,8.838834764831846,-0.008100247199928023
0.06812047958374023,RI8523,-5.0,0,0.018,8.821157095302182,-0.008100247199928023
0.07088971138000488,RI8523,-5.0,0,0.018,8.847673599596678,0.0013500411999874812
0.07391881942749023,RI8523,-5.0,0,0.018,8.847673599596678,-0.010800329599902972
0.07690858840942383,RI8523,-5.0,0,0.018,8.829995930067014,0.0013500411999874812
0.07998824119567871,RI8523,-5.0,0,0.018,8.856512434361509,-0.008100247199928023
0.08301329612731934,RI8523,-5.0,0,0.018,8.856512434361509,-0.01350041199987792
0.08602309226989746,RI8523,-5.0,0,0.018,8.829995930067014,-0.010800329599902972
0.0891416072845459,RI8523,-5.0,0,0.018,8.829995930067014,0.0027000823999749485
0.09200882911682129,RI8523,-5.0,0,0.018,8.838834764831846,-0.009450288399915505
0.09480762481689453,RI8523,-5.0,0,0.018,8.829995930067014,-0.005400164799953089
0.09782028198242188,RI8523,-5.0,0,0.018,8.821157095302182,-0.006750205999940556
0.10083746910095215,RI8523,-5.0,0,0.018,8.856512434361509,-0.010800329599902972
0.1037595272064209,RI8523,-5.0,0,0.018,8.81231826053735,0.0027000823999749485
0.10668492317199707,RI8523,-5.0,0,0.018,8.838834764831846,-0.006750205999940556
0.10954737663269043,RI8523,-5.0,0,0.018,8.838834764831846,0.008100247199928037
0.11254024505615234,RI8523,-5.0,0,0.018,8.829995930067014,-0.004050123599962416
0.11567902565002441,RI8523,-5.0,0,0.018,8.847673599596678,-0.008100247199928023
0.1185460090637207,RI8523,-5.0,0,0.018,8.847673599596678,-0.005400164799953089
0.12165141105651855,RI8523,-5.0,0,0.018,8.847673599596678,0.0013500411999874812
0.12446451187133789,RI8523,-5.0,0,0.018,8.838834764831846,0.0
0.12744545936584473,RI8523,-5.0,0,0.018,8.829995930067014,-0.004050123599962416
0.1304633617401123,RI8523,-5.0,0,0.018,8.847673599596678,0.0
0.1334691047668457,RI8523,-5.0,0,0.018,8.81231826053735,-0.01620049439985287
0.13649630546569824,RI8523,-5.0,0,0.018,8.847673599596678,-0.012150370799890453
0.13954448699951172,RI8523,-5.0,0,0.018,8.847673599596678,-0.01620049439985287
0.14263081550598145,RI8523,-5.0,0,0.018,8.847673599596678,-0.0027000823999749346
0.14561057090759277,RI8523,-5.0,0,0.018,8.838834764831846,-0.009450288399915505
0.14864611625671387,RI8523,-5.0,0,0.018,8.847673599596678,-0.01620049439985287
0.15168094635009766,RI8523,-5.0,0,0.018,8.829995930067014,-0.014850453199865388
0.15468525886535645,RI8523,-5.0,0,0.018,8.838834764831846,-0.005400164799953089
0.15772151947021484,RI8523,-5.0,0,0.018,8.856512434361509,0.0
0.16082024574279785,RI8523,-5.0,0,0.018,8.838834764831846,-0.008100247199928023
0.16462373733520508,RI8523,-5.0,0,0.018,8.838834764831846,-0.006750205999940556
0.1681809425354004,RI8523,-5.0,0,0.018,8.847673599596678,-0.008100247199928023
0.17182588577270508,RI8523,-5.0,0,0.018,8.829995930067014,-0.005400164799953089
0.17549824714660645,RI8523,-5.0,0,0.018,8.838834764831846,-0.004050123599962416
0.1797022819519043,RI8523,-5.0,0,0.018,8.856512434361509,-0.009450288399915505
0.18401503562927246,RI8523,-5.0,0,0.018,8.847673599596678,-0.004050123599962416
0.1878361701965332,RI8523,-5.0,0,0.018,8.838834764831846,-0.009450288399915505
0.1916513442993164,RI8523,-5.0,0,0.018,8.821157095302182,-0.008100247199928023
0.19550776481628418,RI8523,-5.0,0,0.018,8.821157095302182,-0.004050123599962416
0.19958806037902832,RI8523,-5.0,0,0.018,8.856512434361509,-0.006750205999940556
0.2034902572631836,RI8523,-5.0,0,0.018,8.81231826053735,-0.0013500411999874673
0.20721006393432617,RI8523,-5.0,0,0.018,8.856512434361509,-0.009450288399915505
0.21132111549377441,RI8523,-5.0,0,0.018,8.847673599596678,-0.006750205999940556
0.21561026573181152,RI8523,-5.0,0,0.018,8.829995930067014,-0.008100247199928023
0.21979427337646484,RI8523,-5.0,0,0.018,8.838834764831846,-0.006750205999940556
