t,motor_tested,curr_target_mA,on_target,i_q_RI8523_mA,futek_torque_Nm
0.5016908645629883,RI8523,-7.0,1,350.712,-7.009195968511654,-1.1974865443891731
0.5059719085693359,RI8523,-7.0,1,350.712,-6.9915182989819895,-1.2015366679891355
0.5129547119140625,RI8523,-7.0,1,350.712,-6.9915182989819895,-1.200186626789148
0.5163824558258057,RI8523,-7.0,1,350.712,-6.982679464217158,-1.208286873989076
0.5206422805786133,RI8523,-7.0,1,350.712,-7.009195968511654,-1.1988365855891605
0.525134801864624,RI8523,-7.0,1,350.712,-6.982679464217158,-1.2028867091891229
0.5295412540435791,RI8523,-7.0,1,350.712,-7.000357133746822,-1.2069368327890886
0.5327658653259277,RI8523,-7.0,1,350.712,-6.9915182989819895,-1.2096369151890636
0.5356142520904541,RI8523,-7.0,1,350.712,-7.009195968511654,-1.200186626789148
0.5381743907928467,RI8523,-7.0,1,350.712,-6.9915182989819895,-1.2055867915890979
0.5411667823791504,RI8523,-7.0,1,350.712,-6.982679464217158,-1.2028867091891229
0.5439188480377197,RI8523,-7.0,1,350.703,-6.982679464217158,-1.1974865443891731
0.5465705394744873,RI8523,-7.0,1,350.703,-6.982679464217158,-1.200186626789148
0.5498552322387695,RI8523,-7.0,1,350.703,-7.000357133746822,-1.2028867091891229
0.5528044700622559,RI8523,-7.0,1,350.703,-7.000357133746822,-1.2069368327890886
0.5557167530059814,RI8523,-7.0,1,350.694,-6.9915182989819895,-1.2015366679891355
0.5597019195556641,RI8523,-7.0,1,350.694,-6.9915182989819895,-1.1988365855891605
0.5628762245178223,RI8523,-7.0,1,350.694,-7.000357133746822,-1.2028867091891229
0.5657093524932861,RI8523,-7.0,1,350.694,-6.9915182989819895,-1.1974865443891731
0.5683650970458984,RI8523,-7.0,1,350.694,-7.009195968511654,-1.2028867091891229
0.570655107498169,RI8523,-7.0,1,350.694,-6.9915182989819895,-1.2123369975890383
0.5734820365905762,RI8523,-7.0,1,350.694,-7.000357133746822,-1.200186626789148
0.5762360095977783,RI8523,-7.0,1,350.694,-6.9915182989819895,-1.213687038789026
0.5788509845733643,RI8523,-7.0,1,350.694,-6.982679464217158,-1.2028867091891229
0.5814933776855469,RI8523,-7.0,1,350.694,-6.982679464217158,-1.1907363383892324
0.584477424621582,RI8523,-7.0,1,350.694,-6.9915182989819895,-1.2042367503891105
0.5873115062713623,RI8523,-7.0,1,350.685,-7.009195968511654,-1.2028867091891229
0.5898218154907227,RI8523,-7.0,1,350.685,-7.009195968511654,-1.1961365031891855
0.5920255184173584,RI8523,-7.0,1,350.685,-6.9650017946874945,-1.2055867915890979
0.5943055152893066,RI8523,-7.0,1,350.685,-6.9915182989819895,-1.1988365855891605
0.5969138145446777,RI8523,-7.0,1,350.685,-7.000357133746822,-1.2028867091891229
0.5994892120361328,RI8523,-7.0,1,350.685,-6.982679464217158,-1.1961365031891855
0.6028201580047607,RI8523,-7.0,1,350.685,-6.973840629452326,-1.208286873989076
0.606043815612793,RI8523,-7.0,1,350.676,-7.000357133746822,-1.2015366679891355
0.6091063022613525,RI8523,-7.0,1,350.676,-7.000357133746822,-1.2042367503891105
0.6121547222137451,RI8523,-7.0,1,350.676,-6.982679464217158,-1.208286873989076
0.6149857044219971,RI8523,-7.0,1,350.676,-6.973840629452326,-1.1988365855891605
0.6179556846618652,RI8523,-7.0,1,350.676,-7.000357133746822,-1.2096369151890636
0.6207616329193115,RI8523,-7.0,1,350.676,-7.009195968511654,-1.2055867915890979
0.624009370803833,RI8523,-7.0,1,350.676,-7.000357133746822,-1.1934364207892074
0.6275396347045898,RI8523,-7.0,1,350.676,-6.9915182989819895,-1.1988365855891605
