t,motor_tested,curr_target_mA,on_target,i_q_RI8523_mA,futek_torque_Nm
0.5007162094116211,RI8523,-5.0,1,354.231,-4.985102807365161,-0.8707765739921247
0.5042269229888916,RI8523,-5.0,1,354.231,-5.011619311659657,-0.8680764915921497
0.5073912143707275,RI8523,-5.0,1,354.231,-4.985102807365161,-0.8788768211920527
0.5103507041931152,RI8523,-5.0,1,354.231,-4.993941642129993,-0.8734766563920996
0.5129234790802002,RI8523,-5.0,1,354.231,-4.993941642129993,-0.8734766563920996
0.5164539813995361,RI8523,-5.0,1,354.231,-5.011619311659657,-0.8748266975920871
0.520317554473877,RI8523,-5.0,1,354.231,-4.958586303070666,-0.8680764915921497
0.5259881019592285,RI8523,-5.0,1,354.231,-4.9762639726003295,-0.8734766563920996
0.5301427841186523,RI8523,-5.0,1,354.231,-4.958586303070666,-0.8626763267921966
0.534123420715332,RI8523,-5.0,1,354.231,-4.9762639726003295,-0.8680764915921497
0.5371716022491455,RI8523,-5.0,1,354.231,-4.993941642129993,-0.8667264503921622
0.5400044918060303,RI8523,-5.0,1,354.231,-4.993941642129993,-0.8721266151921121
0.5429949760437012,RI8523,-5.0,1,354.231,-4.993941642129993,-0.8721266151921121
0.5458190441131592,RI8523,-5.0,1,354.231,-4.993941642129993,-0.8653764091921716
0.5482895374298096,RI8523,-5.0,1,354.231,-4.9762639726003295,-0.8653764091921716
0.5505359172821045,RI8523,-5.0,1,354.231,-4.993941642129993,-0.8653764091921716
0.5527212619781494,RI8523,-5.0,1,354.231,-5.038135815954152,-0.8721266151921121
0.5554378032684326,RI8523,-5.0,1,354.231,-5.020458146424488,-0.8707765739921247
0.5576908588409424,RI8523,-5.0,1,354.231,-4.985102807365161,-0.8694265327921372
0.5600452423095703,RI8523,-5.0,1,354.231,-4.993941642129993,-0.8599762443922249
0.5636112689971924,RI8523,-5.0,1,354.231,-4.985102807365161,-0.8694265327921372
0.5661165714263916,RI8523,-5.0,1,354.231,-4.985102807365161,-0.8667264503921622
0.5688462257385254,RI8523,-5.0,1,354.222,-5.011619311659657,-0.8748266975920871
0.5718960762023926,RI8523,-5.0,1,354.222,-5.011619311659657,-0.85727616199225
0.5760128498077393,RI8523,-5.0,1,354.222,-5.020458146424488,-0.8680764915921497
0.5784561634063721,RI8523,-5.0,1,354.222,-4.993941642129993,-0.8707765739921247
0.581157922744751,RI8523,-5.0,1,354.222,-5.020458146424488,-0.8748266975920871
0.5839705467224121,RI8523,-5.0,1,354.222,-4.985102807365161,-0.8626763267921966
0.5872342586517334,RI8523,-5.0,1,354.222,-5.011619311659657,-0.8667264503921622
0.5901718139648438,RI8523,-5.0,1,354.222,-4.985102807365161,-0.8761767387920746
0.5931670665740967,RI8523,-5.0,1,354.222,-4.993941642129993,-0.8640263679921841
0.5959579944610596,RI8523,-5.0,1,354.222,-5.011619311659657,-0.8694265327921372
0.5989582538604736,RI8523,-5.0,1,354.222,-5.020458146424488,-0.8707765739921247
0.6021146774291992,RI8523,-5.0,1,354.222,-5.020458146424488,-0.8694265327921372
0.6047422885894775,RI8523,-5.0,1,354.222,-4.993941642129993,-0.8788768211920527
0.6078817844390869,RI8523,-5.0,1,354.222,-5.011619311659657,-0.8775267799920621
0.6107227802276611,RI8523,-5.0,1,354.222,-4.993941642129993,-0.8721266151921121
0.6137382984161377,RI8523,-5.0,1,354.222,-5.011619311659657,-0.8613262855922091
0.616844892501831,RI8523,-5.0,1,354.222,-4.985102807365161,-0.8626763267921966
0.6198081970214844,RI8523,-5.0,1,354.222,-4.985102807365161,-0.8694265327921372
0.6234567165374756,RI8523,-5.0,1,354.222,-4.9762639726003295,-0.8613262855922091
0.625938892364502,RI8523,-5.0,1,354.222,-4.985102807365161,-0.8734766563920996
0.6308465003967285,RI8523,-5.0,1,354.222,-4.993941642129993,-0.8721266151921121
0.6339070796966553,RI8523,-5.0,1,354.222,-4.993941642129993,-0.8734766563920996
0.6370503902435303,RI8523,-5.0,1,354.222,-4.949747468305834,-0.8599762443922249
0.6400315761566162,RI8523,-5.0,1,354.222,-4.993941642129993,-0.8532260383922843
0.6430766582489014,RI8523,-5.0,1,354.222,-5.011619311659657,-0.8613262855922091
0.6461772918701172,RI8523,-5.0,1,354.222,-4.993941642129993,-0.8680764915921497
0.6491866111755371,RI8523,-5.0,1,354.222,-4.993941642129993,-0.8734766563920996
0.6523501873016357,RI8523,-5.0,1,354.222,-5.0292969811893204,-0.8613262855922091
0.6550211906433105,RI8523,-5.0,1,354.222,-5.0292969811893204,-0.8613262855922091
